id,participant_id,timestamp,pagetime,item,action,message,combined,combined_num
4618,220,2017-08-25 21:27:12,0,next_button,click,,next_button click,14
4619,220,2017-08-25 21:27:28,0,next_button,click,,next_button click,14
4620,220,2017-08-25 21:27:41,0,next_button,click,,next_button click,14
4621,220,2017-08-25 21:27:46,0,back_button,rewind,,back_button rewind,15
4622,220,2017-08-25 21:27:46,0,back_button,rewind,,back_button rewind,15
4623,220,2017-08-25 21:27:47,0,back_button,rewind,,back_button rewind,15
4624,220,2017-08-25 21:27:47,0,back_button,rewind,,back_button rewind,15
4625,220,2017-08-25 21:27:49,0,back_button,rewind,,back_button rewind,15
4626,220,2017-08-25 21:27:52,0,back_button,rewind,,back_button rewind,15
4627,220,2017-08-25 21:27:53,0,back_button,rewind,,back_button rewind,15
4628,220,2017-08-25 21:27:53,0,back_button,rewind,,back_button rewind,15
4629,220,2017-08-25 21:27:53,0,back_button,rewind,,back_button rewind,15
4630,220,2017-08-25 21:27:54,0,back_button,rewind,,back_button rewind,15
4631,220,2017-08-25 21:27:54,0,back_button,rewind,,back_button rewind,15
4632,220,2017-08-25 21:27:54,0,back_button,rewind,,back_button rewind,15
4633,220,2017-08-25 21:27:54,0,back_button,rewind,,back_button rewind,15
4634,220,2017-08-25 21:27:55,0,back_button,rewind,,back_button rewind,15
4635,220,2017-08-25 21:27:55,0,back_button,rewind,,back_button rewind,15
4636,220,2017-08-25 21:27:55,0,back_button,rewind,,back_button rewind,15
4637,220,2017-08-25 21:27:55,0,back_button,rewind,,back_button rewind,15
4638,220,2017-08-25 21:27:55,0,back_button,rewind,,back_button rewind,15
4639,220,2017-08-25 21:27:56,0,back_button,rewind,,back_button rewind,15
4640,220,2017-08-25 21:28:03,0,cardView,toggle,,cardView toggle,11
4641,220,2017-08-25 21:28:09,0,back_button,rewind,,back_button rewind,15
4642,220,2017-08-25 21:28:11,0,back_button,rewind,,back_button rewind,15
4643,220,2017-08-25 21:28:11,0,back_button,rewind,,back_button rewind,15
4644,220,2017-08-25 21:28:12,0,back_button,rewind,,back_button rewind,15
4645,220,2017-08-25 21:28:19,0,cardView,toggle,,cardView toggle,11
4646,220,2017-08-25 21:28:21,0,next_button,click,,next_button click,14
4647,220,2017-08-25 21:28:30,0,next_button,click,,next_button click,14
4648,220,2017-08-25 21:28:40,0,next_button,click,,next_button click,14
4649,220,2017-08-25 21:29:00,0,next_button,click,,next_button click,14
4650,220,2017-08-25 21:29:21,0,next_button,click,,next_button click,14
4651,220,2017-08-25 21:29:24,0,back_button,rewind,,back_button rewind,15
4652,220,2017-08-25 21:29:25,0,back_button,rewind,,back_button rewind,15
4653,220,2017-08-25 21:29:30,0,back_button,rewind,,back_button rewind,15
4654,220,2017-08-25 21:29:32,0,next_button,click,,next_button click,14
4655,220,2017-08-25 21:29:33,0,next_button,click,,next_button click,14
4656,220,2017-08-25 21:29:35,0,next_button,click,,next_button click,14
