id,participant_id,timestamp,pagetime,item,action,message
4611,220,"2017-08-25 21:26:51",0,back_button,rewind,
4612,220,"2017-08-25 21:26:53",0,back_button,rewind,
4613,220,"2017-08-25 21:26:54",0,back_button,rewind,
4614,220,"2017-08-25 21:26:54",0,back_button,rewind,
4615,220,"2017-08-25 21:26:54",0,back_button,rewind,
4616,220,"2017-08-25 21:26:54",0,back_button,rewind,
4617,220,"2017-08-25 21:27:00",0,next_button,click,
4618,220,"2017-08-25 21:27:12",0,next_button,click,
4619,220,"2017-08-25 21:27:28",0,next_button,click,
4620,220,"2017-08-25 21:27:41",0,next_button,click,
4621,220,"2017-08-25 21:27:46",0,back_button,rewind,
4622,220,"2017-08-25 21:27:46",0,back_button,rewind,
4623,220,"2017-08-25 21:27:47",0,back_button,rewind,
4624,220,"2017-08-25 21:27:47",0,back_button,rewind,
4625,220,"2017-08-25 21:27:49",0,back_button,rewind,
4626,220,"2017-08-25 21:27:52",0,back_button,rewind,
4627,220,"2017-08-25 21:27:53",0,back_button,rewind,
4628,220,"2017-08-25 21:27:53",0,back_button,rewind,
4629,220,"2017-08-25 21:27:53",0,back_button,rewind,
4630,220,"2017-08-25 21:27:54",0,back_button,rewind,
4631,220,"2017-08-25 21:27:54",0,back_button,rewind,
4632,220,"2017-08-25 21:27:54",0,back_button,rewind,
4633,220,"2017-08-25 21:27:54",0,back_button,rewind,
4634,220,"2017-08-25 21:27:55",0,back_button,rewind,
4635,220,"2017-08-25 21:27:55",0,back_button,rewind,
4636,220,"2017-08-25 21:27:55",0,back_button,rewind,
4637,220,"2017-08-25 21:27:55",0,back_button,rewind,
4638,220,"2017-08-25 21:27:55",0,back_button,rewind,
4639,220,"2017-08-25 21:27:56",0,back_button,rewind,
4640,220,"2017-08-25 21:28:03",0,cardView,toggle,
4641,220,"2017-08-25 21:28:09",0,back_button,rewind,
4642,220,"2017-08-25 21:28:11",0,back_button,rewind,
4643,220,"2017-08-25 21:28:11",0,back_button,rewind,
4644,220,"2017-08-25 21:28:12",0,back_button,rewind,
4645,220,"2017-08-25 21:28:19",0,cardView,toggle,
4646,220,"2017-08-25 21:28:21",0,next_button,click,
4647,220,"2017-08-25 21:28:30",0,next_button,click,
4648,220,"2017-08-25 21:28:40",0,next_button,click,
4649,220,"2017-08-25 21:29:00",0,next_button,click,
4650,220,"2017-08-25 21:29:21",0,next_button,click,
4651,220,"2017-08-25 21:29:24",0,back_button,rewind,
4652,220,"2017-08-25 21:29:25",0,back_button,rewind,
4653,220,"2017-08-25 21:29:30",0,back_button,rewind,
4654,220,"2017-08-25 21:29:32",0,next_button,click,
4655,220,"2017-08-25 21:29:33",0,next_button,click,
4656,220,"2017-08-25 21:29:35",0,next_button,click,
4657,220,"2017-08-25 21:29:36",0,next_button,click,
4658,220,"2017-08-25 21:29:46",0,next_button,click,
4659,220,"2017-08-25 21:29:50",0,next_button,click,
4660,220,"2017-08-25 21:29:55",0,next_button,click,
4661,220,"2017-08-25 21:30:06",0,next_button,click,
4662,220,"2017-08-25 21:30:14",0,next_button,click,
4663,220,"2017-08-25 21:30:17",0,next_button,click,
4664,220,"2017-08-25 21:30:21",0,back_button,rewind,
4665,220,"2017-08-25 21:30:22",0,back_button,rewind,
4666,220,"2017-08-25 21:30:23",0,back_button,rewind,
4667,220,"2017-08-25 21:30:35",0,back_button,rewind,
4668,220,"2017-08-25 21:30:39",0,back_button,rewind,
4669,220,"2017-08-25 21:30:40",0,back_button,rewind,
4670,220,"2017-08-25 21:30:41",0,back_button,rewind,
4671,220,"2017-08-25 21:30:43",0,back_button,rewind,
4672,220,"2017-08-25 21:30:45",0,back_button,rewind,
4673,220,"2017-08-25 21:30:52",0,next_button,click,
4674,220,"2017-08-25 21:30:57",0,back_button,rewind,
4675,220,"2017-08-25 21:30:58",0,back_button,rewind,
4676,220,"2017-08-25 21:30:59",0,back_button,rewind,
4677,220,"2017-08-25 21:31:02",0,back_button,rewind,
4678,220,"2017-08-25 21:31:18",0,next_button,click,
4679,220,"2017-08-25 21:31:20",0,next_button,click,
4680,220,"2017-08-25 21:31:21",0,next_button,click,
4681,220,"2017-08-25 21:31:22",0,next_button,click,
4682,220,"2017-08-25 21:31:29",0,next_button,click,
4683,220,"2017-08-25 21:31:38",0,cardView,toggle,
4684,220,"2017-08-25 21:31:44",0,next_button,click,
4685,220,"2017-08-25 21:31:47",0,back_button,rewind,
4686,220,"2017-08-25 21:31:49",0,cardView,toggle,
4687,220,"2017-08-25 21:31:53",0,back_button,rewind,
4688,220,"2017-08-25 21:31:54",0,back_button,rewind,
4689,220,"2017-08-25 21:31:54",0,back_button,rewind,
4690,220,"2017-08-25 21:31:54",0,back_button,rewind,
4691,220,"2017-08-25 21:31:54",0,back_button,rewind,
4692,220,"2017-08-25 21:31:55",0,back_button,rewind,
4693,220,"2017-08-25 21:31:55",0,back_button,rewind,
4694,220,"2017-08-25 21:31:59",0,next_button,click,
4695,220,"2017-08-25 21:32:02",0,next_button,click,
4696,220,"2017-08-25 21:32:03",0,next_button,click,
4697,220,"2017-08-25 21:32:04",0,next_button,click,
4698,220,"2017-08-25 21:32:05",0,next_button,click,
4699,220,"2017-08-25 21:32:07",0,next_button,click,
4700,220,"2017-08-25 21:32:08",0,next_button,click,
4701,220,"2017-08-25 21:32:10",0,next_button,click,
4702,220,"2017-08-25 21:32:20",0,back_button,rewind,
4703,220,"2017-08-25 21:32:27",0,back_button,rewind,
4704,220,"2017-08-25 21:32:30",0,back_button,rewind,
